Identifier	Title	Subtitle	Corporate Name/Author	Personal Name/Author	Type of resource	Genre	Date	Publisher	Place of publication	Date Other	Language	Form	Extent/Scale	Physical description note	Note	Subject(geographic)	Subject(geographic)	Subject(geographic)	Continent	Country	Province/state	Region	County	City	City section	Area	Coordinates
AirPhotos_Hamilton_1960_60134-82	[Wentworth County, excluding most of the City of Hamilton, 5/21/1960] : [Flightline 60134-Photo 82]		Canadian Aero Service Ltd.		cartographic	Aerial photographs	5/21/1960	[Canadian Aero Service Ltd.]	[Place of publication unknown]	5/21/1960	eng	remote-sensing image	[1:4,800]	1 remote-sensing image ; 84 x 83 cm on sheet 86 x 88 cm.	Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].	Hamilton-Wentworth (Ont.)			North America	Canada	Ontario		Wentworth	Hamilton	Flamborough, Dundas, Ancaster, Glanbrook, Stoney Creek		latitude 43.22982 ; longitude -80.05291
AirPhotos_Hamilton_1960_60134-84	[Wentworth County, excluding most of the City of Hamilton, 5/21/1960] : [Flightline 60134-Photo 84]		Canadian Aero Service Ltd.		cartographic	Aerial photographs	5/21/1960	[Canadian Aero Service Ltd.]	[Place of publication unknown]	5/21/1960	eng	remote-sensing image	[1:4,800]	1 remote-sensing image ; 84 x 83 cm on sheet 86 x 88 cm.	Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].	Hamilton-Wentworth (Ont.)			North America	Canada	Ontario		Wentworth	Hamilton	Flamborough, Dundas, Ancaster, Glanbrook, Stoney Creek		latitude 43.216436 ; longitude -80.016861
AirPhotos_Hamilton_1960_60134-86	[Wentworth County, excluding most of the City of Hamilton, 5/21/1960] : [Flightline 60134-Photo 86]		Canadian Aero Service Ltd.		cartographic	Aerial photographs	5/21/1960	[Canadian Aero Service Ltd.]	[Place of publication unknown]	5/21/1960	eng	remote-sensing image	[1:4,800]	1 remote-sensing image ; 84 x 83 cm on sheet 86 x 88 cm.	Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].	Hamilton-Wentworth (Ont.)			North America	Canada	Ontario		Wentworth	Hamilton	Flamborough, Dundas, Ancaster, Glanbrook, Stoney Creek		latitude 43.203174 ; longitude -79.981155
AirPhotos_Hamilton_1960_60134-88	[Wentworth County, excluding most of the City of Hamilton, 5/21/1960] : [Flightline 60134-Photo 88]		Canadian Aero Service Ltd.		cartographic	Aerial photographs	5/21/1960	[Canadian Aero Service Ltd.]	[Place of publication unknown]	5/21/1960	eng	remote-sensing image	[1:4,800]	1 remote-sensing image ; 84 x 83 cm on sheet 86 x 88 cm.	Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].	Hamilton-Wentworth (Ont.)			North America	Canada	Ontario		Wentworth	Hamilton	Flamborough, Dundas, Ancaster, Glanbrook, Stoney Creek		latitude 43.189783 ; longitude -79.945621
AirPhotos_Hamilton_1960_60134-92B	[Wentworth County, excluding most of the City of Hamilton, 5/21/1960] : [Flightline 60134-Photo 92B]		Canadian Aero Service Ltd.		cartographic	Aerial photographs	5/21/1960	[Canadian Aero Service Ltd.]	[Place of publication unknown]	5/21/1960	eng	remote-sensing image	[1:4,800]	1 remote-sensing image ; 84 x 83 cm on sheet 86 x 88 cm.	Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].	Hamilton-Wentworth (Ont.)			North America	Canada	Ontario		Wentworth	Hamilton	Flamborough, Dundas, Ancaster, Glanbrook, Stoney Creek		latitude 43.163495 ; longitude -79.875069
AirPhotos_Hamilton_1960_60134-94B	[Wentworth County, excluding most of the City of Hamilton, 5/21/1960] : [Flightline 60134-Photo 94B]		Canadian Aero Service Ltd.		cartographic	Aerial photographs	5/21/1960	[Canadian Aero Service Ltd.]	[Place of publication unknown]	5/21/1960	eng	remote-sensing image	[1:4,800]	1 remote-sensing image ; 84 x 83 cm on sheet 86 x 88 cm.	Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].	Hamilton-Wentworth (Ont.)			North America	Canada	Ontario		Wentworth	Hamilton	Flamborough, Dundas, Ancaster, Glanbrook, Stoney Creek		latitude 43.149971 ; longitude -79.839191
AirPhotos_Hamilton_1960_60134-96B	[Wentworth County, excluding most of the City of Hamilton, 5/21/1960] : [Flightline 60134-Photo 96B]		Canadian Aero Service Ltd.		cartographic	Aerial photographs	5/21/1960	[Canadian Aero Service Ltd.]	[Place of publication unknown]	5/21/1960	eng	remote-sensing image	[1:4,800]	1 remote-sensing image ; 84 x 83 cm on sheet 86 x 88 cm.	Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].	Hamilton-Wentworth (Ont.)			North America	Canada	Ontario		Wentworth	Hamilton	Flamborough, Dundas, Ancaster, Glanbrook, Stoney Creek		latitude 43.136569 ; longitude -79.803314
AirPhotos_Hamilton_1960_60134-98B	[Wentworth County, excluding most of the City of Hamilton, 5/21/1960] : [Flightline 60134-Photo 98B]		Canadian Aero Service Ltd.		cartographic	Aerial photographs	5/21/1960	[Canadian Aero Service Ltd.]	[Place of publication unknown]	5/21/1960	eng	remote-sensing image	[1:4,800]	1 remote-sensing image ; 84 x 83 cm on sheet 86 x 88 cm.	Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].	Hamilton-Wentworth (Ont.)			North America	Canada	Ontario		Wentworth	Hamilton	Flamborough, Dundas, Ancaster, Glanbrook, Stoney Creek		latitude 43.123039 ; longitude -79.767265
AirPhotos_Hamilton_1960_60134-100B	[Wentworth County, excluding most of the City of Hamilton, 5/21/1960] : [Flightline 60134-Photo 100B]		Canadian Aero Service Ltd.		cartographic	Aerial photographs	5/21/1960	[Canadian Aero Service Ltd.]	[Place of publication unknown]	5/21/1960	eng	remote-sensing image	[1:4,800]	1 remote-sensing image ; 84 x 83 cm on sheet 86 x 88 cm.	Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].	Hamilton-Wentworth (Ont.)			North America	Canada	Ontario		Wentworth	Hamilton	Flamborough, Dundas, Ancaster, Glanbrook, Stoney Creek		latitude 43.109631 ; longitude -79.73156
AirPhotos_Hamilton_1960_60134-108	[Wentworth County, excluding most of the City of Hamilton, 5/21/1960] : [Flightline 60134-Photo 108]		Canadian Aero Service Ltd.		cartographic	Aerial photographs	5/21/1960	[Canadian Aero Service Ltd.]	[Place of publication unknown]	5/21/1960	eng	remote-sensing image	[1:4,800]	1 remote-sensing image ; 84 x 83 cm on sheet 86 x 88 cm.	Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].	Hamilton-Wentworth (Ont.)			North America	Canada	Ontario		Wentworth	Hamilton	Flamborough, Dundas, Ancaster, Glanbrook, Stoney Creek		latitude 43.146213 ; longitude -79.663925
AirPhotos_Hamilton_1960_60134-110	[Wentworth County, excluding most of the City of Hamilton, 5/21/1960] : [Flightline 60134-Photo 110]		Canadian Aero Service Ltd.		cartographic	Aerial photographs	5/21/1960	[Canadian Aero Service Ltd.]	[Place of publication unknown]	5/21/1960	eng	remote-sensing image	[1:4,800]	1 remote-sensing image ; 84 x 83 cm on sheet 86 x 88 cm.	Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].	Hamilton-Wentworth (Ont.)			North America	Canada	Ontario		Wentworth	Hamilton	Flamborough, Dundas, Ancaster, Glanbrook, Stoney Creek		latitude 43.160239 ; longitude -79.702206
AirPhotos_Hamilton_1960_60134-112	[Wentworth County, excluding most of the City of Hamilton, 5/21/1960] : [Flightline 60134-Photo 112]		Canadian Aero Service Ltd.		cartographic	Aerial photographs	5/21/1960	[Canadian Aero Service Ltd.]	[Place of publication unknown]	5/21/1960	eng	remote-sensing image	[1:4,800]	1 remote-sensing image ; 84 x 83 cm on sheet 86 x 88 cm.	Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].	Hamilton-Wentworth (Ont.)			North America	Canada	Ontario		Wentworth	Hamilton	Flamborough, Dundas, Ancaster, Glanbrook, Stoney Creek		latitude 43.173511 ; longitude 79.737911
AirPhotos_Hamilton_1960_60134-114	[Wentworth County, excluding most of the City of Hamilton, 5/21/1960] : [Flightline 60134-Photo 114]		Canadian Aero Service Ltd.		cartographic	Aerial photographs	5/21/1960	[Canadian Aero Service Ltd.]	[Place of publication unknown]	5/21/1960	eng	remote-sensing image	[1:4,800]	1 remote-sensing image ; 84 x 83 cm on sheet 86 x 88 cm.	Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].	Hamilton-Wentworth (Ont.)			North America	Canada	Ontario		Wentworth	Hamilton	Flamborough, Dundas, Ancaster, Glanbrook, Stoney Creek		latitude 43.187531 ; longitude -79.776535
AirPhotos_Hamilton_1960_60134-116	[Wentworth County, excluding most of the City of Hamilton, 5/21/1960] : [Flightline 60134-Photo 116]		Canadian Aero Service Ltd.		cartographic	Aerial photographs	5/21/1960	[Canadian Aero Service Ltd.]	[Place of publication unknown]	5/21/1960	eng	remote-sensing image	[1:4,800]	1 remote-sensing image ; 84 x 83 cm on sheet 86 x 88 cm.	Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].	Hamilton-Wentworth (Ont.)			North America	Canada	Ontario		Wentworth	Hamilton	Flamborough, Dundas, Ancaster, Glanbrook, Stoney Creek		latitude 43.201047 ; longitude -79.812412
AirPhotos_Hamilton_1960_60134-124	[Wentworth County, excluding most of the City of Hamilton, 5/21/1960] : [Flightline 60134-Photo 124]		Canadian Aero Service Ltd.		cartographic	Aerial photographs	5/21/1960	[Canadian Aero Service Ltd.]	[Place of publication unknown]	5/21/1960	eng	remote-sensing image	[1:4,800]	1 remote-sensing image ; 84 x 83 cm on sheet 86 x 88 cm.	Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].	Hamilton-Wentworth (Ont.)			North America	Canada	Ontario		Wentworth	Hamilton	Flamborough, Dundas, Ancaster, Glanbrook, Stoney Creek		latitude 43.248954 ; longitude -79.964848
AirPhotos_Hamilton_1960_60134-130	[Wentworth County, excluding most of the City of Hamilton, 5/21/1960] : [Flightline 60134-Photo 130]		Canadian Aero Service Ltd.		cartographic	Aerial photographs	5/21/1960	[Canadian Aero Service Ltd.]	[Place of publication unknown]	5/21/1960	eng	remote-sensing image	[1:4,800]	1 remote-sensing image ; 84 x 83 cm on sheet 86 x 88 cm.	Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].	Hamilton-Wentworth (Ont.)			North America	Canada	Ontario		Wentworth	Hamilton	Flamborough, Dundas, Ancaster, Glanbrook, Stoney Creek		latitude 43.292326 ; longitude -80.078659
AirPhotos_Hamilton_1960_60134-135	[Wentworth County, excluding most of the City of Hamilton, 5/21/1960] : [Flightline 60134-Photo 135]		Canadian Aero Service Ltd.		cartographic	Aerial photographs	5/21/1960	[Canadian Aero Service Ltd.]	[Place of publication unknown]	5/21/1960	eng	remote-sensing image	[1:4,800]	1 remote-sensing image ; 84 x 83 cm on sheet 86 x 88 cm.	Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].	Hamilton-Wentworth (Ont.)			North America	Canada	Ontario		Wentworth	Hamilton	Flamborough, Dundas, Ancaster, Glanbrook, Stoney Creek		latitude 43.271331 ; longitude -79.95163
AirPhotos_Hamilton_1960_60134-137	[Wentworth County, excluding most of the City of Hamilton, 5/21/1960] : [Flightline 60134-Photo 137]		Canadian Aero Service Ltd.		cartographic	Aerial photographs	5/21/1960	[Canadian Aero Service Ltd.]	[Place of publication unknown]	5/21/1960	eng	remote-sensing image	[1:4,800]	1 remote-sensing image ; 84 x 83 cm on sheet 86 x 88 cm.	Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].	Hamilton-Wentworth (Ont.)			North America	Canada	Ontario		Wentworth	Hamilton	Flamborough, Dundas, Ancaster, Glanbrook, Stoney Creek		latitude 43.258362 ; longitude -79.908242
AirPhotos_Hamilton_1960_60134-145	[Wentworth County, excluding most of the City of Hamilton, 5/21/1960] : [Flightline 60134-Photo 145]		Canadian Aero Service Ltd.		cartographic	Aerial photographs	5/21/1960	[Canadian Aero Service Ltd.]	[Place of publication unknown]	5/21/1960	eng	remote-sensing image	[1:4,800]	1 remote-sensing image ; 84 x 83 cm on sheet 86 x 88 cm.	Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].	Hamilton-Wentworth (Ont.)			North America	Canada	Ontario		Wentworth	Hamilton	Flamborough, Dundas, Ancaster, Glanbrook, Stoney Creek		latitude 43.202048 ; longitude -79.754562
AirPhotos_Hamilton_1960_60134-147	[Wentworth County, excluding most of the City of Hamilton, 5/21/1960] : [Flightline 60134-Photo 147]		Canadian Aero Service Ltd.		cartographic	Aerial photographs	5/21/1960	[Canadian Aero Service Ltd.]	[Place of publication unknown]	5/21/1960	eng	remote-sensing image	[1:4,800]	1 remote-sensing image ; 84 x 83 cm on sheet 86 x 88 cm.	Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].	Hamilton-Wentworth (Ont.)			North America	Canada	Ontario		Wentworth	Hamilton	Flamborough, Dundas, Ancaster, Glanbrook, Stoney Creek		latitude 43.188532 ; longitude -79.718857
AirPhotos_Hamilton_1960_60134-149	[Wentworth County, excluding most of the City of Hamilton, 5/21/1960] : [Flightline 60134-Photo 149]		Canadian Aero Service Ltd.		cartographic	Aerial photographs	5/21/1960	[Canadian Aero Service Ltd.]	[Place of publication unknown]	5/21/1960	eng	remote-sensing image	[1:4,800]	1 remote-sensing image ; 84 x 83 cm on sheet 86 x 88 cm.	Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].	Hamilton-Wentworth (Ont.)			North America	Canada	Ontario		Wentworth	Hamilton	Flamborough, Dundas, Ancaster, Glanbrook, Stoney Creek		latitude 43.175138 ; longitude -79.683151
AirPhotos_Hamilton_1960_60134-151	[Wentworth County, excluding most of the City of Hamilton, 5/21/1960] : [Flightline 60134-Photo 151]		Canadian Aero Service Ltd.		cartographic	Aerial photographs	5/21/1960	[Canadian Aero Service Ltd.]	[Place of publication unknown]	5/21/1960	eng	remote-sensing image	[1:4,800]	1 remote-sensing image ; 84 x 83 cm on sheet 86 x 88 cm.	Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].	Hamilton-Wentworth (Ont.)			North America	Canada	Ontario		Wentworth	Hamilton	Flamborough, Dundas, Ancaster, Glanbrook, Stoney Creek		latitude 43.16049 ; longitude -79.645386
AirPhotos_Hamilton_1960_60134-157	[Wentworth County, excluding most of the City of Hamilton, 5/21/1960] : [Flightline 60134-Photo 157]		Canadian Aero Service Ltd.		cartographic	Aerial photographs	5/21/1960	[Canadian Aero Service Ltd.]	[Place of publication unknown]	5/21/1960	eng	remote-sensing image	[1:4,800]	1 remote-sensing image ; 84 x 83 cm on sheet 86 x 88 cm.	Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].	Hamilton-Wentworth (Ont.)			North America	Canada	Ontario		Wentworth	Hamilton	Flamborough, Dundas, Ancaster, Glanbrook, Stoney Creek		latitude 43.195165 ; longitude -79.646931
AirPhotos_Hamilton_1960_60134-159	[Wentworth County, excluding most of the City of Hamilton, 5/21/1960] : [Flightline 60134-Photo 159]		Canadian Aero Service Ltd.		cartographic	Aerial photographs	5/21/1960	[Canadian Aero Service Ltd.]	[Place of publication unknown]	5/21/1960	eng	remote-sensing image	[1:4,800]	1 remote-sensing image ; 84 x 83 cm on sheet 86 x 88 cm.	Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].	Hamilton-Wentworth (Ont.)			North America	Canada	Ontario		Wentworth	Hamilton	Flamborough, Dundas, Ancaster, Glanbrook, Stoney Creek		latitude 43.208429 ; longitude -79.682636
AirPhotos_Hamilton_1960_60134-161	[Wentworth County, excluding most of the City of Hamilton, 5/21/1960] : [Flightline 60134-Photo 161]		Canadian Aero Service Ltd.		cartographic	Aerial photographs	5/21/1960	[Canadian Aero Service Ltd.]	[Place of publication unknown]	5/21/1960	eng	remote-sensing image	[1:4,800]	1 remote-sensing image ; 84 x 83 cm on sheet 86 x 88 cm.	Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].	Hamilton-Wentworth (Ont.)			North America	Canada	Ontario		Wentworth	Hamilton	Flamborough, Dundas, Ancaster, Glanbrook, Stoney Creek		latitude 43.222316 ; longitude -79.718685
AirPhotos_Hamilton_1960_60134-163	[Wentworth County, excluding most of the City of Hamilton, 5/21/1960] : [Flightline 60134-Photo 163]		Canadian Aero Service Ltd.		cartographic	Aerial photographs	5/21/1960	[Canadian Aero Service Ltd.]	[Place of publication unknown]	5/21/1960	eng	remote-sensing image	[1:4,800]	1 remote-sensing image ; 84 x 83 cm on sheet 86 x 88 cm.	Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].	Hamilton-Wentworth (Ont.)			North America	Canada	Ontario		Wentworth	Hamilton	Flamborough, Dundas, Ancaster, Glanbrook, Stoney Creek		latitude 43.235824 ; longitude -79.754391
AirPhotos_Hamilton_1960_60134-173	[Wentworth County, excluding most of the City of Hamilton, 5/21/1960] : [Flightline 60134-Photo 173]		Canadian Aero Service Ltd.		cartographic	Aerial photographs	5/21/1960	[Canadian Aero Service Ltd.]	[Place of publication unknown]	5/21/1960	eng	remote-sensing image	[1:4,800]	1 remote-sensing image ; 84 x 83 cm on sheet 86 x 88 cm.	Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].	Hamilton-Wentworth (Ont.)			North America	Canada	Ontario		Wentworth	Hamilton	Flamborough, Dundas, Ancaster, Glanbrook, Stoney Creek		latitude 43.302852 ; longitude -79.951115
AirPhotos_Hamilton_1960_60134-174	[Wentworth County, excluding most of the City of Hamilton, 5/21/1960] : [Flightline 60134-Photo 174]		Canadian Aero Service Ltd.		cartographic	Aerial photographs	5/21/1960	[Canadian Aero Service Ltd.]	[Place of publication unknown]	5/21/1960	eng	remote-sensing image	[1:4,800]	1 remote-sensing image ; 84 x 83 cm on sheet 86 x 88 cm.	Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].	Hamilton-Wentworth (Ont.)			North America	Canada	Ontario		Wentworth	Hamilton	Flamborough, Dundas, Ancaster, Glanbrook, Stoney Creek		latitude 43.324803 ; longitude -79.913177
AirPhotos_Hamilton_1960_60134-176	[Wentworth County, excluding most of the City of Hamilton, 5/21/1960] : [Flightline 60134-Photo 176]		Canadian Aero Service Ltd.		cartographic	Aerial photographs	5/21/1960	[Canadian Aero Service Ltd.]	[Place of publication unknown]	5/21/1960	eng	remote-sensing image	[1:4,800]	1 remote-sensing image ; 84 x 83 cm on sheet 86 x 88 cm.	Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].	Hamilton-Wentworth (Ont.)			North America	Canada	Ontario		Wentworth	Hamilton	Flamborough, Dundas, Ancaster, Glanbrook, Stoney Creek		latitude 43.309316 ; longitude -79.885025
AirPhotos_Hamilton_1960_60134-178	[Wentworth County, excluding most of the City of Hamilton, 5/21/1960] : [Flightline 60134-Photo 178]		Canadian Aero Service Ltd.		cartographic	Aerial photographs	5/21/1960	[Canadian Aero Service Ltd.]	[Place of publication unknown]	5/21/1960	eng	remote-sensing image	[1:4,800]	1 remote-sensing image ; 84 x 83 cm on sheet 86 x 88 cm.	Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].	Hamilton-Wentworth (Ont.)			North America	Canada	Ontario		Wentworth	Hamilton	Flamborough, Dundas, Ancaster, Glanbrook, Stoney Creek		latitude 43.288702 ; longitude -79.84417
AirPhotos_Hamilton_1960_60134-184	[Wentworth County, excluding most of the City of Hamilton, 5/21/1960] : [Flightline 60134-Photo 184]		Canadian Aero Service Ltd.		cartographic	Aerial photographs	5/21/1960	[Canadian Aero Service Ltd.]	[Place of publication unknown]	5/21/1960	eng	remote-sensing image	[1:4,800]	1 remote-sensing image ; 84 x 83 cm on sheet 86 x 88 cm.	Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].	Hamilton-Wentworth (Ont.)			North America	Canada	Ontario		Wentworth	Hamilton	Flamborough, Dundas, Ancaster, Glanbrook, Stoney Creek		latitude 43.241201 ; longitude -79.703236
AirPhotos_Hamilton_1960_60134-186	[Wentworth County, excluding most of the City of Hamilton, 5/21/1960] : [Flightline 60134-Photo 186]		Canadian Aero Service Ltd.		cartographic	Aerial photographs	5/21/1960	[Canadian Aero Service Ltd.]	[Place of publication unknown]	5/21/1960	eng	remote-sensing image	[1:4,800]	1 remote-sensing image ; 84 x 83 cm on sheet 86 x 88 cm.	Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].	Hamilton-Wentworth (Ont.)			North America	Canada	Ontario		Wentworth	Hamilton	Flamborough, Dundas, Ancaster, Glanbrook, Stoney Creek		latitude 43.227944 ; longitude -79.667702
AirPhotos_Hamilton_1960_60134-188	[Wentworth County, excluding most of the City of Hamilton, 5/21/1960] : [Flightline 60134-Photo 188]		Canadian Aero Service Ltd.		cartographic	Aerial photographs	5/21/1960	[Canadian Aero Service Ltd.]	[Place of publication unknown]	5/21/1960	eng	remote-sensing image	[1:4,800]	1 remote-sensing image ; 84 x 83 cm on sheet 86 x 88 cm.	Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].	Hamilton-Wentworth (Ont.)			North America	Canada	Ontario		Wentworth	Hamilton	Flamborough, Dundas, Ancaster, Glanbrook, Stoney Creek		latitude 43.213934 ; longitude -79.629078
AirPhotos_Hamilton_1960_60134-192	[Wentworth County, excluding most of the City of Hamilton, 5/21/1960] : [Flightline 60134-Photo 192]		Canadian Aero Service Ltd.		cartographic	Aerial photographs	5/21/1960	[Canadian Aero Service Ltd.]	[Place of publication unknown]	5/21/1960	eng	remote-sensing image	[1:4,800]	1 remote-sensing image ; 84 x 83 cm on sheet 86 x 88 cm.	Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].	Hamilton-Wentworth (Ont.)			North America	Canada	Ontario		Wentworth	Hamilton	Flamborough, Dundas, Ancaster, Glanbrook, Stoney Creek		latitude 43.308504 ; longitude -79.789925
AirPhotos_Hamilton_1960_60134-194	[Wentworth County, excluding most of the City of Hamilton, 5/21/1960] : [Flightline 60134-Photo 194]		Canadian Aero Service Ltd.		cartographic	Aerial photographs	5/21/1960	[Canadian Aero Service Ltd.]	[Place of publication unknown]	5/21/1960	eng	remote-sensing image	[1:4,800]	1 remote-sensing image ; 84 x 83 cm on sheet 86 x 88 cm.	Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].	Hamilton-Wentworth (Ont.)			North America	Canada	Ontario		Wentworth	Hamilton	Flamborough, Dundas, Ancaster, Glanbrook, Stoney Creek		latitude 43.321494 ; longitude -79.826059
AirPhotos_Hamilton_1960_60134-196	[Wentworth County, excluding most of the City of Hamilton, 5/21/1960] : [Flightline 60134-Photo 196]		Canadian Aero Service Ltd.		cartographic	Aerial photographs	5/21/1960	[Canadian Aero Service Ltd.]	[Place of publication unknown]	5/21/1960	eng	remote-sensing image	[1:4,800]	1 remote-sensing image ; 84 x 83 cm on sheet 86 x 88 cm.	Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].	Hamilton-Wentworth (Ont.)			North America	Canada	Ontario		Wentworth	Hamilton	Flamborough, Dundas, Ancaster, Glanbrook, Stoney Creek		latitude 43.329455 ; longitude -79.861507
AirPhotos_Hamilton_1960_60134-198	[Wentworth County, excluding most of the City of Hamilton, 5/21/1960] : [Flightline 60134-Photo 198]		Canadian Aero Service Ltd.		cartographic	Aerial photographs	5/21/1960	[Canadian Aero Service Ltd.]	[Place of publication unknown]	5/21/1960	eng	remote-sensing image	[1:4,800]	1 remote-sensing image ; 84 x 83 cm on sheet 86 x 88 cm.	Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].	Hamilton-Wentworth (Ont.)			North America	Canada	Ontario		Wentworth	Hamilton	Flamborough, Dundas, Ancaster, Glanbrook, Stoney Creek		latitude 43.340036 ; longitude -79.893351
AirPhotos_Hamilton_1960_60134-200	[Wentworth County, excluding most of the City of Hamilton, 5/21/1960] : [Flightline 60134-Photo 200]		Canadian Aero Service Ltd.		cartographic	Aerial photographs	5/21/1960	[Canadian Aero Service Ltd.]	[Place of publication unknown]	5/21/1960	eng	remote-sensing image	[1:4,800]	1 remote-sensing image ; 84 x 83 cm on sheet 86 x 88 cm.	Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].	Hamilton-Wentworth (Ont.)			North America	Canada	Ontario		Wentworth	Hamilton	Flamborough, Dundas, Ancaster, Glanbrook, Stoney Creek		latitude 43.242077 ; longitude -80.018406
AirPhotos_Hamilton_1960_60134-204	[Wentworth County, excluding most of the City of Hamilton, 5/21/1960] : [Flightline 60134-Photo 204]		Canadian Aero Service Ltd.		cartographic	Aerial photographs	5/21/1960	[Canadian Aero Service Ltd.]	[Place of publication unknown]	5/21/1960	eng	remote-sensing image	[1:4,800]	1 remote-sensing image ; 84 x 83 cm on sheet 86 x 88 cm.	Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].	Hamilton-Wentworth (Ont.)			North America	Canada	Ontario		Wentworth	Hamilton	Flamborough, Dundas, Ancaster, Glanbrook, Stoney Creek		latitude 43.268706 ; longitude -80.089817
AirPhotos_Hamilton_1960_60134-206	[Wentworth County, excluding most of the City of Hamilton, 5/21/1960] : [Flightline 60134-Photo 206]		Canadian Aero Service Ltd.		cartographic	Aerial photographs	5/21/1960	[Canadian Aero Service Ltd.]	[Place of publication unknown]	5/21/1960	eng	remote-sensing image	[1:4,800]	1 remote-sensing image ; 84 x 83 cm on sheet 86 x 88 cm.	Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].	Hamilton-Wentworth (Ont.)			North America	Canada	Ontario		Wentworth	Hamilton	Flamborough, Dundas, Ancaster, Glanbrook, Stoney Creek		latitude 43.281954 ; longitude -80.125523
